Title,Body
Request Rejected,
Events – General Entertainment Authority,Location All regions of the Kingdom All regions of the Sultanate Almadina Beshaa Dammam Dhahran Jeddah Khobar Riyadh Saudi Arabia
THE 10 BEST Saudi Arabia Events (Updated 2025),"One of the must see list here in taif..its about 30kms from down town . long walkway they call it aljadeh. And many stores in both sides.

You can see a theatre in both side ends..many traditional things.. And also show rooms some ministries..and future vision for TAIF CITY."
Saudi Events,"Your opinion matters

Rate your experience on the Saudi Events platform"
Riyadh Season,"Entertainment festival held annually in Riyadh, Saudi Arabia

Riyadh Season (Arabic: موسم الرياض, romanized: mawsim ar-Riyāḍ) is a series of entertainment, cultural, and sporting events held in the Saudi Arabian capital of Riyadh. The event was introduced in 2019 by the General Entertainment Authority as part of the larger Saudi Seasons initiative in support of Saudi Vision 2030.

Summary [ edit ]

Riyadh Season is typically scheduled from October through March, falling between the early-winter and early-spring.

Riyadh Season involves seasonal events and experiences dispersed ""zones"" such as the Boulevard City, Boulevard World, Roshn Front, Al Malazz, and National Museum Park districts.

Major events such as concerts, music festivals, and sporting events (particularly football, boxing and mixed martial arts events) are promoted under the banner held at venues such as Mohammed Abdo Arena and Kingdom Arena.

Several tourist attractions of the city are selected and are designated as entertainment zones.

History [ edit ]

Riyadh Season was introduced in 2019 as part of an initiative by the General Entertainment Authority known as Saudi Seasons, a portfolio of 11 regional cultural festivals that aim to promote tourism in Saudi Arabia in support of Saudi Vision 2030.[1][2]

The inaugural edition of Riyadh Season resulted in a sizable increase in tourism during the period; the General Entertainment Authority estimated that the events collectively generated six billion riyals in revenue,[3] there were at least 11 million visitors to the city during the 66-day period, a 106% increase in flight bookings to the city (71% of which coming from other parts of the country), and a 240% increase in bookings to one, two, and three-star hotels.[4]

Riyadh Season was not held in 2020–21 due to the COVID-19 pandemic.

It returned for 2021–22, extended through March 2022.[5]

With COVID-19 restrictions eased, its opening ceremony (which featured a performance by American rapper Pitbull) was attended by 750,000 people in the boulevard district.[6]

The 2022 opening ceremony set a record for the largest number of drones simultaneously launching fireworks.[7][8] At least five million visitors attended events in the first two months of the period.[9]

In October 2024, sports streaming service DAZN reached an agreement with the General Entertainment Authority making it the exclusive broadcaster of all Riyadh Season-sponsored events, including international distribution rights to all of its boxing cards outside of the Middle East and North Africa (MENA) region.[10]

Riyadh Season 2019–2020 [ edit ]

The first edition of the festival was launched on 11 October 2019 and was set to end on 15 December, but it was extended to January 2020 after the number of visitors exceeded 10 million.[11]

In 17 October 2019, the opening parade of the first edition of Riyadh Season was held in Riyadh Boulevard zone with an attendance of more than 600,000 visitors.[12]

It included 100 events that took place at 12 different zones, and was hosted under seven themes and experiences: Joy, inspire, taste, explore, fantasy, speed and desert.[13]

The Taste theme originated in accordance with opening 31 restaurant from different cuisines all across the following zones:[13]

Riyadh Season 2021–2022 [ edit ]

The second edition of Riyadh Season was launched on 20 October 2021 and lasted until the end of March 2022.

It lies in an area measuring 5.4 million square meters in which it hosts more than 7,000 events at 14 different zones.[5]

Riyadh Season 2022–2023 [ edit ]

The third edition of Riyadh Season was launched on 21 October 2022 and lasted until March 2023.

This included 8,500 activity days. This season had a principal of 15 zones in the Riyadh Boulevard and represented many cultures such as:

America France Greece Italy India China Spain Morocco Mexico Qassim

The 2022 Riyadh Season also included 2023 Riyadh Season Cup, a friendly football match between Paris Saint-Germain (PSG) and Riyadh XI (combined Al Hilal and Al Nassr all-star team) held at King Fahd International Stadium on 19 January 2023.

The game received global attention as the game pitted Lionel Messi and Cristiano Ronaldo, two of the greatest football players in the world and the subject of intense debate, directly against each other for the first time since 2020, as Messi played for PSG and Ronaldo joined Al Nassr days prior to the friendly match.

PSG won the match 5–4.

Riyadh Season 2023–2024 [ edit ]

The fourth edition of Riyadh Season launched on 28 October 2023 with new identity and tagline (""Big Time"") and title sponsorship from SNB.

The opener event, Battle of Baddest, featuring Tyson Fury and Francis Ngannou, was held at Boulevard Hall on the same day.

This year's Riyadh Season was marked with the addition of Boulevard Hall (named Kingdom Arena for sponsorship reasons), an indoor arena with a FIFA and AFC-approved football pitch capable of hosting various types of events with more than 40,000 spectators in attendance (27,000 for football matches). It was fully opened in January 2024 and serves as the new home ground of Al Hilal





The following events took place as part of 2023 Riyadh Season:

Zones [ edit ]

There are 12 Zones in Riyadh Season 2023:[19]

Riyadh Season 2024–2025 [ edit ]

The fifth edition of Riyadh Season launched on October 12th.

The following events took place as part of 2024 Riyadh Season:

Miscellaneous [ edit ]

Riyadh Season secured front-of-shirt sponsorship with Serie A club AS Roma, worth €8 million per year, to promote its series of events and Saudi tourism globally.

Riyadh Season sponsored Terence Crawford vs Israil Madrimov at BMO Stadium in Los Angeles on August 4, 2024.

Riyadh Season secured the title sponsorship of UFC 306: O'Malley vs. Dvalishvili at the Sphere in Las Vegas on September 14, 2024.

Riyadh Season sponsored Anthony Joshua vs Daniel Dubois at Wembley Stadium in London on September 21, 2024.

Riyadh Season signed a three year sponsorship deal with La Liga on October 9, 2024.

Riyadh Season secured a sponsorship of the ring mat for WWE Raw on Netflix and for WWE PLE's.

Riyadh Season will sponsor Canelo Álvarez vs Terence Crawford at Allegiant Stadium in Las Vegas on September 13, 2025.

See also [ edit ]

Black Hat Middle East and Africa, a cybersecurity and hacking convention that is annually held during Riyadh Season"
Festivals and events in Riyadh,"While Riyadh is a fascinating place to live, expats might be dismayed by what seems to be a lack of annual events. Nevertheless, those who aren't afraid to immerse themselves in the local culture are sure to find some festivals and celebrations in Riyadh.

Annual events in Riyadh

Al Janadriyah Festival (March/April)

The vibrant Al Janadriyah Festival is held every year, showcasing the best of Saudi culture, customs and traditions. Visitors can take part in numerous activities and view displays of regional architecture, craft, cuisine, markets and folklore. It's a unique opportunity for expats to go back in time to the beginnings of Arab culture.

Riyadh Spring Festival (April)

Though spring in Riyadh is likely to be much hotter than most expats are used to in springtime, it's well worth braving the heat to visit the annual Spring Festival. More than a million flowers are planted each year in specially designed formations that create a large image, and the final result is nothing less than spectacular.

Outlet Festival Riyadh (October)

Held every year in October, this festival is a shopaholic's dream, with bargains and discounts galore to be found across more than 1,500 international brands. Goods such as garments, accessories, electronics, traditional jewellery and shisha are all available at the appointed spots throughout the city.

Eid al-Fitr and Eid al-Adha Festivals

The two annual Eid feasts are the biggest Islamic festivals and are celebrated with great ceremonies in Riyadh. Eid al-Fitr comes right after the holy month of Ramadan. Eid al-Adha takes place after the Hajj pilgrimage. There are massive celebrations all over the city at malls, embassies and in the streets. Residents get into the spirit by decorating their homes and preparing sumptuous meals for family and friends. Many shopkeepers also show their generosity by providing free Eid gifts with each purchase, like chocolates and toys for children."
Noor Riyadh,"The World’s Largest Light Art Festival

Launched in March 2021, Noor Riyadh is an annual citywide festival celebrating light and art. It features a world-class exhibition and a rich public program, including educational workshops, talks, and performances. Noor Riyadh brings together the finest light artworks from leading international and Saudi artists, covering the largest city footprint of any light art festival globally.

Under the umbrella of Riyadh Art, the festival aims to nurture local talent and inspire youth to drive Saudi Arabia’s creative economy.

Stay tuned for updates on artist features, artworks, exhibition details, locations, and a diverse array of workshops, talks, and activities. Whether you’re an art enthusiast, a family, or seeking awe-inspiring experiences, Noor Riyadh offers something for everyone."
,
Year-end Review: Top Tourist Events in Saudi Arabia in 2024,"Saudi Arabia is one of the most prominent tourist destinations in the region, thanks to its cultural and geographical diversity and rich history. In recent years, Saudi tourism has undergone a significant transformation with the launch of Vision 2030. It aimed at diversifying the economy and boosting the tourism sector.

The year 2024 attracted visitors from all over the world.

Here is an overview of the top tourist events to enjoy in the Kingdom during this year:

Riyadh Season 2024

Riyadh Season is one of the largest entertainment events in Saudi Arabia and the region. This year, it returns with even bigger attractions targeting all age groups. The season features concerts by global and Arab superstars, artistic and cultural festivals, world-class theatrical performances, and innovative entertainment zones offering interactive games and virtual reality experiences.

Winter at Tantora Festival

Held in the historic city of AlUla, the Winter at Tantora Festival blends heritage, culture, and art. The festival includes musical performances at the iconic Maraya Concert Hall, traditional shows, and guided tours of archaeological sites such as Madain Saleh and Elephant Rock. It offers a unique opportunity to experience the beauty of the desert landscape with activities like camping and hot air balloon rides.

Red Sea International Film Festival

Hosted in Jeddah, the Red Sea International Film Festival gathers cinema enthusiasts from around the world. The festival showcases the latest local and international film productions, alongside workshops and discussions with filmmakers and directors. It serves as an essential platform for promoting Saudi Arabia’s burgeoning film industry.

Jeddah Season

Jeddah Season highlights the coastal and cultural aspects of the city. It offers a range of marine activities such as diving, kayaking, and boat racing, alongside musical concerts and art exhibitions. The season also includes family-friendly entertainment, such as fireworks displays and theatrical performances.

King Abdulaziz Camel Festival

This festival is one of the Kingdom’s most celebrated heritage events, honoring the cultural significance of camels in Saudi traditions. It features camel beauty contests, cultural exhibitions, and traditional markets showcasing handicrafts and local foods. Additionally, the festival hosts seminars on desert heritage and environmental conservation.

NEOM and TROJENA Events

As projects like NEOM and TROJENA continue to develop, new events are emerging that blend technology and nature. These areas offer unique activities such as skiing in the desert and innovative tourism experiences powered by artificial intelligence and advanced technologies.

Regional Seasons

In addition to the major events, the Kingdom organizes local seasons in various regions, such as Taif Season, Hail Season, and Eastern Province Season. These events highlight the unique cultural and heritage aspects of each area through traditional art performances, local markets, and agricultural festivals.

Religious and Cultural Events

Religious events like the Hajj and Umrah seasons remain key attractions for tourists. Additionally, the Saudi Ministry of Culture organizes numerous cultural activities, including art and literary exhibitions and poetry festivals, reflecting the richness of Saudi culture.

The year 2024 is shaping up to be a remarkable year for tourism in Saudi Arabia, combining deep-rooted heritage with cutting-edge modernity. With an array of diverse events and activities, the Kingdom offers unforgettable experiences that cater to visitors from all walks of life. From arts and culture to adventure and technology, Saudi Arabia continues to stand out as a unique destination for everyone.

Related Topics :

Saudi Tourism Authority Partners with Thouq for New Campaigns, Initiatives

Discover First Six Tourist Yacht Agents Obtaining Licenses in Saudi Arabia

Wellness Tourism: A Catalyst for Saudi Vision 2030

Saudi Arabia Welcomes 4.2 mln Tourists for Leisure, Holidays from Jan to July 2024

Bursa: Turkey’s Skiing Capital Attracts Saudi Tourists

Short link :"
Festivals in Saudi Arabia,"Festivals in the Kingdom of Saudi Arabia are an advanced cultural sector within the Kingdom, encompassing diverse and specialized events connected to economic, tourism, artistic, agricultural, and heritage activities. These festivals contribute to enhancing the quality of life in the Kingdom as part of the Saudi Vision 2030 program, which aims to create a vibrant society where everyone enjoys a decent and happy life.

Festival diversity in Saudi Arabia

Festivals and events vary across different provinces of the Kingdom according to the organizing body, such as ministries, municipalities of provinces, authorities, private sector companies, and others. They also differ in purpose or objective, whether commercial, cultural, social, or tourism-related. The diversity also extends to target audiences, including festivals specifically for families, youth, or children.

Festival locations vary as well; some are held at permanent sites, such as al-Janadria Festival, while others take place at temporary venues, such as Hakaya Misk and Colors of Saudi. The Kingdom also hosts various festival seasons, like al-Bahah Summer Festival and the Winter at Tantora Festival, which include cultural, heritage, and artisanal activities, in addition to agricultural, local, sports, desert, environmental, music, and art festivals.

Al-Janadria Festival

Cultural heritage festivals, such as the National Festival for Heritage and Culture 'al-Janadria,' are among the oldest festivals established in the Kingdom. It began in 1985 under the supervision of the General Presidency of the National Guard (currently the Ministry of National Guard). The festival features events that showcase the Kingdom's heritage and includes a site with a theater, exhibition halls, pavilions, and model buildings representing various cities in the Kingdom. The festival serves as a national occasion to introduce Saudi heritage, beginning with a camel race and featuring artistic and folkloric performances, as well as exhibitions of handicraft products. The Ministry of Culture currently oversees the organization and management of the festival, replacing the Ministry of National Guard in this role. The most recent edition of the festival was held in 2019.

Historic Jeddah Festival

The Historic Jeddah Festival was launched for the first time in 2014, coinciding with the inclusion of Historic Jeddah Province in the World Heritage List. The festival highlights the Kingdom’s historical and cultural significance, introducing the residents and visitors of Jeddah to the historical heritage of the province. The festival is held annually during the mid-academic year break, accompanied by various cultural activities, with dedicated sections for handicrafts and traditional foods.

Heritage festivals in the Kingdom

Among the heritage festivals in the Kingdom is 'al-Harah al-Makiyah' Festival in Makkah al-Mukarramah City, which was first held in 2016. The festival includes heritage and entertainment activities, serving as an introduction to the cultural heritage of Makkah al-Mukarramah. There are several other heritage festivals, including the Najran Tourism Heritage Festival and the al-Ghada Festival in the heritage village of al-Ghada in Unayzah Governorate, Qassim Province.

King Abdulaziz Camel Festival

The Kingdom also hosts festivals that celebrate authentic Arab culture and the Bedouin lifestyle of ancestors in the Arabian desert, honoring traditional customs such as horsemanship, hunting, and camel breeding and racing. An example is the King Abdulaziz Camel Festival, which features cultural, entertainment, and sporting events. The festival showcases traditional foods, crafts, and products related to camels, alongside various camel races, including beauty contests, endurance races, and hajeej competitions. The King Abdulaziz Festival is held in ad-Dahna' Desert or the southern as-Sayahid region, attracting camel enthusiasts from both within and outside the Kingdom. Each year, the festival sees participation from over 1,800 contestants and features more than 38,000 camels.

Souq Okaz Festival

The Makkah al-Mukarramah Province Emirate organized the 'Souq Okaz' Festival in Taif City from its inception in 2007 until 2017, after which the Ministry of Tourism took over its organization. The festival serves as a poetry, arts, and history gathering that attracts intellectuals and those interested in culture and poetry. The festival includes numerous seminars and lectures, as well as competitions in Arabic calligraphy, Arabic storytelling in short stories, photography, theatrical creativity, and visual arts.

Agricultural festivals in Saudi Arabia

The Kingdom organizes several festivals celebrating agriculture and local production, such as al-Jawf International Olive Festival in Sikaka, al-Jawf Province. This festival, first held in 2008, promotes and markets olives and olive oil produced from farms in al-Jawf Province. It is supported by various entities and organizations, including the Ministry of Tourism, al-Jawf University, and al-Jawf Chamber of Commerce and Industry. As one of the province's key festivals, it attracts tens of thousands of visitors annually, features numerous entertainment activities, and hosts exhibitions for family businesses, olives, and related products.

The Citrus Festival in al-Hariq Governorate, Riyadh Province, is organized with support from the Ministry of Tourism and the Ministry of Environment, Water, and Agriculture. The festival showcases citrus products from farms in al-Hariq, including oranges, lemons, tangerines, dates, citrons, and more, along with an exhibition of honey produced in al-Hariq farms. It also includes numerous tourist trips attended by foreign diplomats and their families, as well as poetry evenings and lectures. Each year, the festival attracts tens of thousands of visitors from within the Kingdom and abroad.

The annual Taif Rose Festival coincides with the rose harvesting season in March from farms in al-Hada, al-Shifa, and other areas within Taif Governorate. The festival attracts thousands of rose enthusiasts and lovers of its products each year. Local factories produce a variety of high-quality rose products, such as rose water and essential oils. The festival has reached a visitor count of one million and includes numerous traditional and entertainment events, as well as flower exhibitions.

The Rose and Fruit Festival is held in Tabuk, along with the Mango and Tropical Fruits Festival, known as the ""Mango Festival,"" as well as the Saudi Khawlani Coffee Festival in Jazan Province, the Citrus Festival in Hail Province, and others.

Date and honey festivals in Saudi Arabia

Date and honey festivals are popular in the Kingdom, as dates and honey are significant products of Saudi farms. These festivals are held annually across various Saudi provinces, such as al-Ahsa Date and Palm Festival organized by al-Ahsa Municipality during the date harvest season in al-Ahsa Oasis, the Buraydah Date Festival, the International Date Festival in al-Madinah al-Munawwarah, and al-Aqiq Date Festival in Aqiq Governorate, al-Bahah. Additionally, there are honey festivals, including the Jazan Honey Festival in al-'Idabi Governorate and the International Honey Festival in al-Bahah.

Entertainment festivals in Saudi Arabia

Holiday seasons in the Kingdom are accompanied by various entertainment and shopping festivals, such as the Saudi Summer Festival, overseen by the Ministry of Tourism. Held annually in different Saudi provinces, the festival includes entertainment, cultural, social, heritage, and sports activities, highlighting the Kingdom’s diverse tourist destinations. Alongside the festival, numerous exhibitions, theatrical shows, and tourist programs are organized, making it a platform for introducing the media and visitors to summer events and festivals in the Kingdom. Each province showcases unique festivals and events that reflect its culture and distinct features. Similar to the summer festival, other seasonal festivals take place throughout the year, including winter, spring, and fall festivals, such as the Winter at Tantora Festival in the historic al-Ula, the Jeddah Spring Festival, and ad-Dawadimi Fall Festival.

The capital, Riyadh, hosts Riyadh Season, featuring events such as motorcycle racing, gymnastics performances, fire-breathing acts, and hoop jumping, along with musical performances and orchestral music displays.

Artistic and cultural festivals play an important role in enriching the artistic and cultural scene in the Kingdom and supporting artists and creatives. These include the Saudi Film Festival, the Red Sea International Film Festival, and the Noor Festival for Culture and Arts in Riyadh.

Racing festivals in Saudi Arabia

The Saudi Falcons Club in Riyadh City organizes the King Abdulaziz Falconry Festival, an international event that attracts falcon owners from the Kingdom and the Gulf Cooperation Council countries. The festival includes falconry competitions, such as al-Malwah and al-Mazayen. A similar falconry festival is also held in the Northern Borders Province.

The Diriyah Equestrian Festival is held at ad-Duhami Equestrian Center in the historic area of ad-Diriyah as part of Diriyah Season. The festival features horse racing and show jumping, with competition points counting toward qualification for the global equestrian Olympics."
