Title,Body
Saudi Arabia Current Weather,"Static Radar Temporarily Unavailable

Thank you for your patience as we work to get everything up and running again.

Refresh Page"
Weather in Saudi Arabia,"How was your experience?

Thank you for your feedback!"
"10-Day Weather Forecast for An Nasiriyah, Riyadh, Saudi Arabia - The Weather Channel","Type at least three characters to start auto complete. Recently searched locations will be displayed if there is no search query. The first option will be automatically selected. Use up and down arrows to change selection. Use escape to clear. Search City or Zip Code Search

recents Clear All You have no recent locations"
Weather forecast for places in Saudi Arabia,
Climate Change Knowledge Portal,"Current Climate Climatology

This page presents Saudi Arabia's climate context for the current climatology, 1991-2020, derived from observed, historical data. Information should be used to build a strong understanding of current climate conditions in order to appreciate future climate scenarios and projected change. You can visualize data for the current climatology through spatial variation, the seasonal cycle, or as a time series. Analysis is available for both annual and seasonal data. Data presentation defaults to national-scale aggregation, however sub-national data aggregations can be accessed by clicking within a country, on a sub-national unit. Other historical climatologies can be selected from the Time Period dropdown list.

Observed, historical data is produced by the Climatic Research Unit (CRU) of University of East Anglia. Data is presented at a 0.5º x 0.5º (50km x 50km) resolution."
The seasons and climate in Saudi,
Climate Change Knowledge Portal,"The Kingdom of Saudi Arabia constitutes the bulk of the Arabian Peninsula in Western Asia with a total area of approximately 2.25 million km2 of which about 38% are desert lands. The country is arid, and the sand desert renders several regions susceptible to flooding and desertification. Saudi Arabia’s population is approximately 35 million (2020) people and its economy is heavily dependent on oil. The country is the world’s largest petroleum exporter. Saudi Arabia lacks permanent water resources and, therefore, must depend on groundwater and seawater desalination to meet its water demands. Saudi Arabia is vulnerable to the impacts of climate change that pose increasing risk to its water security, such as decrease in frequency and amount of precipitation and increase in temperature."
"Riyadh, Saudi Arabia Weather Conditions","You are about to report this weather station for bad data. Please select the information that is incorrect.

Thank you for reporting this station. We will review the data in question.

The time period when the sun is no more than 6 degrees below the horizon at either sunrise or sunset. The horizon should be clearly defined and the brightest stars should be visible under good atmospheric conditions (i.e. no moonlight, or other lights). One still should be able to carry on ordinary outdoor activities.

The time period when the sun is between 6 and 12 degrees below the horizon at either sunrise or sunset. The horizon is well defined and the outline of objects might be visible without artificial light. Ordinary outdoor activities are not possible at this time without extra illumination.

The time period when the sun is between 12 and 18 degrees below the horizon at either sunrise or sunset. The sun does not contribute to the illumination of the sky before this time in the morning, or after this time in the evening. In the beginning of morning astronomical twilight and at the end of astronomical twilight in the evening, sky illumination is very faint, and might be undetectable.

The time of Civil Sunset minus the time of Civil Sunrise.

The time of Actual Sunset minus the time of Actual Sunrise. The change in length of daylight between today and tomorrow is also listed when available."
"Al Ula, Medina, Saudi Arabia Weather Forecast","Air Quality See More

Air Quality Poor

The air has reached a high level of pollution and is unhealthy for sensitive groups. Reduce time spent outside if you are feeling symptoms such as difficulty breathing or throat irritation."
"Jeddah, Mecca, Saudi Arabia Weather Forecast","Air Quality See More

Air Quality Poor

The air has reached a high level of pollution and is unhealthy for sensitive groups. Reduce time spent outside if you are feeling symptoms such as difficulty breathing or throat irritation."
What is the Weather in Saudi Arabia Like?,"Many people who I meet ask me about the weather in Saudi Arabia and what it’s like. Since Saudi Arabia is a big country, the weather differs from one place to another. There are some mountainous parts that actually get hail storms in the winter season. While others, like my city enjoy a standard GCC weather forecast. This means that it’s mostly very hot and humid in the summer and dry and cold in the winter.

Summer Weather in Saudi Arabia

Basically, we only witness two seasons: summer and winter. In each season, the weather is so extreme that you just can’t wait for it to end! For example, in the summer months, the display windows of the shops get covered in condensation caused by extreme humidity levels! The same trend applies to your glasses. They will be covered in fog to the point that you won’t be able to see through the lenses unless you wipe them with a cloth. Chocolate melts before you can get the pleasure of tasting it, eggs can be cooked in direct sunlight (without the need of an oven or stove!) and the water in non-controlled swimming pools gets too hot for a refreshing swim. Another reason for this humidity is of course the proximity to the Gulf ocean. Wherever you have beaches, you must get some degree of humidity.

Winter Weather in Saudi Arabia

In contrast to the cruel and sticky summer months, we get very cold desert winters. The winter in the Gulf region is unlike the one in Europe or other continents. Since it’s a desert, we get a harsh type of winter. One with a strong wind, dry cold weather and very scarce rain – like maybe once or twice in a year. The temperatures might not drop that low in the winter months, but you must always stay protected and wear suitable clothing. Because the cold winter breeze could penetrate your bones and leave you ill for the rest of the season! I must admit, the winter in Dubai is much warmer than that of my city – Al Khobar. The Dubai winter serves as a respite from the severe summer heat and humidity. It’s a time when the weather in the city is at its best, and we all look forward to Al Fresco dining and finally being able to spend time outdoors..

Clothes for Winter

In Saudi, the winter months are cooler. You do need to cover up (despite us women being covered in an Abaya anyway) properly. The winters in my city were cold enough, that a jacket becomes essential. Sweaters, cardigans or hoodies wouldn’t do the job. So, the need arises for a proper heavy winter jacket. But the challenging part for us women was wearing the jacket under our light fabric Abayas! It was almost impossible to pull that look off and still manage to look cool while out in public! I think during the cold winter months, half of the population looked obese! as if we had all suddenly gained some winter weight or something. It was hilarious and annoying at the same time! I honestly can’t remember how I ended up solving the Abaya and jacket dilemma. I probably just wore heavy sweaters underneath the Abaya or maybe got myself an Abaya with a heavy material. I will definitely update this post if I remember anything about this!

Memories of Weather When Younger

One thing that will never leave my memory is how we used to wear thick tights under our school uniforms as kids! This was back in the 1980’s (when I was in elementary school) and when the winters in my city used to get extremely cold! Who could imagine that in those days, the winter season demanded that we not only wear thick knitted tights to protect our legs from the desert winter, but that we would even warm up those tights on electric heaters that we had in our homes! I still remember those days very clearly. We would wake up so early to go to school, and the maid (nanny/housekeeper) would place our thick white tights on the heater before we could wear them under our uniforms. That feeling of wearing warm tights was the epitome of bliss and pure joy. I’m not lying when I say that I used to wear those tights under my jeans and pants too! that’s how cold it was in those days! One pair of pants wasn’t enough to protect us from the cold breeze. We had to wear thermal underwear and tights at all times! It’s so ironic when you think of how these days, we would be happy just to wear a winter jacket throughout the season. I still have my jackets and coats from my London days – decorating my clothes wardrobe. I would be ecstatic if I got to wear any jacket or coat for at least one day during any given Dubai winter! The problem is, that because I love the winter, I can’t seem to stop myself from buying winter clothes – even if they end up in the closet and never see the day of light.

Saudi Arabia Global Warming

Global warming is starting to visibly impact our region. This summer’s soaring temperatures and high humidity levels reflect this serious climate change. Although I might not be warming up any thick tights – or leggings – on an electric heater this Dubai winter, I know that I will definitely be enjoying the cooler weather while writing from my balcony in the evenings and catching up with friends at the city’s cool outdoor venues."
,"Saudi Arabia Weather, climate and geography

Weather and climate

Best time to visit

Saudi Arabia has a desert climate characterised by dry, hot summers and mild winters. Rainfall is scarce, and sharp temperature changes between day and night should be expected.

Spring (March to June) is warm, though the temperatures at night can dip below 15°C (59°F) in the north, but in the south (particularly around Abhā in the southwest), spring is the rainiest season.

Summer (June to September) is long and hot; it is usual to see the temperature hitting 45°C (113°F). However, the hilly southwest is much cooler.

Autumn (October to November) is still relatively warm with day time temperatures hovering around 30°C (86°F), although evenings are pleasant, with temperatures dropping to around 15°C (59°F) in most cities.

Winter (December to March) is the best time to visit Saudi Arabia as the weather is mild with plenty of sunny days and cool nights. It is possible to see snow in the north – you may even be lucky enough to try snow sledging in the mountains around Tabuk.

Riyadh, the capital of Saudi Arabia, sits on a rocky plateau in the centre of the country. Its relatively high elevation (594m or 1950ft above sea level) means that it is sunny year-round and less humid than other Saudi cities. July and August are the warmest months with an average temperature of 36°C (97°F). The period between June and September is also dry with no rain at all, while the months between November and April receive about 100mm (4in) of rain.

Jeddah, a major port city on the Red Sea coast, has hot and humid weather. July is the hottest month in Jeddah with an average high of 38°C (100°F) while January is the coolest month with an average high of 28°C (82°F). The city receives very little rain, averaging just 20mm (0.8in) a year. The evenings are mild in Jeddah and they offer opportunities to enjoy the waterfront, the Jeddah Corniche, which features miles of sandy beaches and three swimming bays.

Makkah, also spelt Mecca, is the holiest city in Islam as it was here that the Quran was first revealed to the Prophet Muhammad. The city sits in a desert valley 86km (53mi) east of Jeddah. Daytime temperatures often hover above 40°C (104°F) between May and September but the evenings are cooler. The weather in January is most pleasant, with an average high of 31°C (88°F) and an average low of 19°C (66°F).

Required clothing

Pack sunscreen, sunglasses and sun hats, and use layers (light sweaters or scarves) for air-conditioned buildings and cooler evenings.

A rain jacket may be required, depending on when and where you are going.

Geography

The largest country in the Arabian Peninsula, Saudi Arabia is bordered to the northwest by Jordan, to the north by Iraq and Kuwait, to the east by the Persian Gulf, Qatar and the United Arab Emirates, and to the south by Oman and Yemen. To the west lies the Red Sea. Along the Red Sea coast is a narrow coastal plain (Tihamah), which is hot and humid throughout the year. Beyond the plain is a series of hills and mountains, and in the southwest, near Abha, is where you will find Jabal Sawda, the highest point of the Kingdom standing at 3,133m (10,279ft) above sea level.

95% of Saudi Arabia is desert. Rub' Al Khali, meaning the Empty Quarter, occupies 650,000 sq km (250,966 sq mi) in the south-eastern part of the country. This is the largest desert in the Arabian Peninsula and is absolutely beautiful – visitors can expect undulating sand dunes rising from the ground and rolling away to a distant horizon. Another sizable desert is Al Nufud Al Kabir, located near the borders with Iraq and Kuwait. The sand dunes here can be shaped into mounds towering over a hundred meters.



"
